ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2020-8204,A cross site scripting (XSS) vulnerability exists in Pulse Connect Secure <9.1R5 on the PSAL Page.,Pulse Connect Secure,<9.1R5,cross site scripting (XSS) vulnerability,,PSAL Page,,,
CVE-2020-10905,"This vulnerability allows remote attackers to disclose sensitive information on affected installations of Foxit PhantomPDF 9.7.1.29511. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of vertices in U3D objects. The issue results from the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated object. An attacker can leverage this in conjunction with other vulnerabilities to execute code in the context of the current process. Was ZDI-CAN-10568.",Foxit PhantomPDF,9.7.1.29511,,lack of proper validation of user-supplied data,handling of vertices in U3D objects,remote attackers,conjunction with other vulnerabilities to execute code in the context of the current process,disclose sensitive information
CVE-2020-10973,"An issue was discovered in Wavlink WN530HG4, Wavlink WN531G3, Wavlink WN533A8, and Wavlink WN551K1 affecting /cgi-bin/ExportAllSettings.sh where a crafted POST request returns the current configuration of the device, including the administrator password. No authentication is required. The attacker must perform a decryption step, but all decryption information is readily available.",Wavlink,WN530HG4 |n WN531G3 |n WN533A8 |n WN551K1,,"a crafted POST request returns the current configuration of the device, including the administrator password",/cgi-bin/ExportAllSettings.sh,,"perform a decryption step, but all decryption information is readily available",
CVE-2020-11807,"Because of Unrestricted Upload of a File with a Dangerous Type, Sourcefabric Newscoop 4.4.7 allows an authenticated user to execute arbitrary PHP code (and sometimes terminal commands) on a server by making an avatar update and then visiting the avatar file under the /images/ path.",Sourcefabric Newscoop,4.4.7,,Unrestricted Upload of a File with a Dangerous Type,,authenticated user,making an avatar update and then visiting the avatar file under the /images/ path,execute arbitrary PHP code (and sometimes terminal commands) on a server
CVE-2020-4525,IBM Jazz Foundation and IBM Engineering products are vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session. IBM X-Force ID: 182435.,IBM Jazz Foundation and IBM Engineering,,cross-site scripting,,,,,embed arbitrary JavaScript code in the Web UI
CVE-2020-35613,An issue was discovered in Joomla! 3.0.0 through 3.9.22. Improper filter blacklist configuration leads to a SQL injection vulnerability in the backend user list.,Joomla!,3.0.0 through 3.9.22,,,,,Improper filter blacklist configuration,a SQL injection vulnerability in the backend user list
CVE-2020-6187,"SAP NetWeaver (Guided Procedures), versions 7.10, 7.11, 7.20, 7.30, 7.31, 7.40, 7.50, does not sufficiently validate an XML document input from a compromised admin, leading to Denial of Service.",SAP NetWeaver (Guided Procedures),7.10 |n 7.11 |n 7.20 |n 7.30 |n 7.31 |n 7.40 |n 7.50,,does not sufficiently validate an XML document input from a compromised admin,,,,Denial of Service
CVE-2020-12106,"The Web portal of the WiFi module of VPNCrypt M10 2.6.5 allows unauthenticated users to send HTTP POST request to several critical Administrative functions such as, changing credentials of the Administrator account or connect the product to a rogue access point.",VPNCrypt M10,2.6.5,,,Web portal of the WiFi module,unauthenticated users,,send HTTP POST request to several critical Administrative functions
CVE-2020-5633,"Multiple NEC products (Express5800/T110j, Express5800/T110j-S, Express5800/T110j (2nd-Gen), Express5800/T110j-S (2nd-Gen), iStorage NS100Ti, and Express5800/GT110j) where Baseboard Management Controller (BMC) firmware Rev1.09 and earlier is applied allows remote attackers to bypass authentication and then obtain/modify BMC setting information, obtain monitoring information, or reboot/shut down the vulnerable product via unspecified vectors.","NEC |n Express5800/T110j, Express5800/T110j-S, Express5800/T110j (2nd-Gen), Express5800/T110j-S (2nd-Gen), iStorage NS100Ti, and Express5800/GT110j",Rev1.09 and earlier,,,,remote attackers,,"bypass authentication and then obtain/modify BMC setting information, obtain monitoring information, or reboot/shut down the vulnerable product"
CVE-2020-6393,Insufficient policy enforcement in Blink in Google Chrome prior to 80.0.3987.87 allowed a remote attacker to leak cross-origin data via a crafted HTML page.,Google Chrome,prior to 80.0.3987.87,,Insufficient policy enforcement,Blink,remote attacker,a crafted HTML page,leak cross-origin data
CVE-2020-28581,"A command injection vulnerability in ModifyVLANItem of Trend Micro InterScan Web Security Virtual Appliance 6.5 SP2 could allow an authenticated, remote attacker to send specially crafted HTTP messages and execute arbitrary OS commands with elevated privileges.",Trend Micro InterScan Web Security Virtual Appliance,6.5 SP2,command injection vulnerability,,ModifyVLANItem,"authenticated, remote attacker",elevated privileges,send specially crafted HTTP messages and execute arbitrary OS commands
CVE-2020-6819,"Under certain conditions, when running the nsDocShell destructor, a race condition can cause a use-after-free. We are aware of targeted attacks in the wild abusing this flaw. This vulnerability affects Thunderbird < 68.7.0, Firefox < 74.0.1, and Firefox ESR < 68.6.1.",Thunderbird |n Firefox |n Firefox ESR,< 68.7.0 |n < 74.0.1 |n < 68.6.1,race condition,running the nsDocShell destructor,,,,use-after-free
CVE-2020-6622,stb stb_truetype.h through 1.22 has a heap-based buffer over-read in stbtt__buf_peek8.,stb stb_truetype.h,through 1.22,heap-based buffer over-read,,stbtt__buf_peek8,,,
CVE-2020-5627,"Yodobashi App for Android versions 1.8.7 and earlier allows remote attackers to lead a user to access an arbitrary website via the vulnerable App. As a result, the user may become a victim of a phishing attack.",Yodobashi App for Android,1.8.7 and earlier,,,,remote attackers,,lead a user to access an arbitrary website |n the user may become a victim of a phishing attack
CVE-2020-3391,"A vulnerability in Cisco Digital Network Architecture (DNA) Center could allow an authenticated, remote attacker to view sensitive information in clear text. The vulnerability is due to insecure storage of certain unencrypted credentials on an affected device. An attacker could exploit this vulnerability by viewing the network device configuration and obtaining credentials that they may not normally have access to. A successful exploit could allow the attacker to use those credentials to discover and manage network devices.",Cisco Digital Network Architecture (DNA) Center,,,insecure storage of certain unencrypted credentials on an affected device,,"authenticated, remote attacker",viewing the network device configuration and obtaining credentials that they may not normally have access to,view sensitive information in clear text |n use those credentials to discover and manage network devices
CVE-2020-12468,Subrion CMS 4.2.1 allows CSV injection via a phrase value within a language. This is related to phrases/add/ and languages/download/.,Subrion CMS,4.2.1,,,phrases/add/ and languages/download/,,a phrase value within a language,CSV injection
CVE-2020-14719,"Vulnerability in the Oracle Internet Expenses product of Oracle E-Business Suite (component: Mobile Expenses Admin Utilities). Supported versions that are affected are 12.2.4-12.2.9. Easily exploitable vulnerability allows low privileged attacker with network access via HTTP to compromise Oracle Internet Expenses. While the vulnerability is in Oracle Internet Expenses, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in unauthorized creation, deletion or modification access to critical data or all Oracle Internet Expenses accessible data. CVSS 3.1 Base Score 7.7 (Integrity impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:N/I:H/A:N).",Mobile Expenses Admin Utilities,12.2.4-12.2.9,,,,low privileged attacker with network access via HTTP,HTTP to compromise Oracle Internet Expenses,"unauthorized creation, deletion or modification access to critical data or all Oracle Internet Expenses accessible data |n compromise Oracle Internet Expenses"
CVE-2020-14153,"In IJG JPEG (aka libjpeg) from version 8 through 9c, jdhuff.c has an out-of-bounds array read for certain table pointers.",IJG JPEG |n libjpeg,8 through 9c,,an out-of-bounds array read for certain table pointers,jdhuff.c,,,
CVE-2020-29501,"Dell EMC PowerStore versions prior to 1.0.3.0.5.007 contain a Plain-Text Password Storage Vulnerability in PowerStore X & T environments. A locally authenticated attacker could potentially exploit this vulnerability, leading to the disclosure of certain user credentials. The attacker may be able to use the exposed credentials to access the vulnerable application with privileges of the compromised account.",Dell EMC PowerStore,prior to 1.0.3.0.5.007,Plain-Text Password Storage Vulnerability,,PowerStore X & T environments,locally authenticated attacker,,disclosure of certain user credentials
CVE-2019-1010319,"WavPack 5.1.0 and earlier is affected by: CWE-457: Use of Uninitialized Variable. The impact is: Unexpected control flow, crashes, and segfaults. The component is: ParseWave64HeaderConfig (wave64.c:211). The attack vector is: Maliciously crafted .wav file. The fixed version is: After commit https://github.com/dbry/WavPack/commit/33a0025d1d63ccd05d9dbaa6923d52b1446a62fe.",WavPack,5.1.0 and earlier,CWE-457: Use of Uninitialized Variable,,ParseWave64HeaderConfig (wave64.c:211),,Maliciously crafted .wav file,"Unexpected control flow, crashes, and segfaults"
CVE-2019-1020002,Pterodactyl before 0.7.14 with 2FA allows credential sniffing.,Pterodactyl,before 0.7.14 with 2FA,credential sniffing,,,,,
CVE-2019-1020001,yard before 0.9.20 allows path traversal.,yard,before 0.9.20,path traversal,,,,,
CVE-2019-1020003,invenio-records before 1.2.2 allows XSS.,invenio-records,before 1.2.2,XSS,,,,,
CVE-2019-1020004,Tridactyl before 1.16.0 allows fake key events.,Tridactyl,before 1.16.0,fake key events,,,,,
CVE-2019-1020005,invenio-communities before 1.0.0a20 allows XSS.,invenio-communities,before 1.0.0a20,XSS,,,,,
CVE-2019-1020006,invenio-app before 1.1.1 allows host header injection.,invenio-app,before 1.1.1,host header injection,,,,,
CVE-2019-1020007,Dependency-Track before 3.5.1 allows XSS.,Dependency-Track,before 3.5.1,XSS,,,,,
CVE-2019-1020009,Fleet before 2.1.2 allows exposure of SMTP credentials.,Fleet,before 2.1.2,,,,,,exposure of SMTP credentials
CVE-2019-1020008,stacktable.js before 1.0.4 allows XSS.,stacktable.js,before 1.0.4,XSS,,,,,
CVE-2019-1020010,Misskey before 10.102.4 allows hijacking a user's token.,Misskey,before 10.102.4,,,,,,hijacking a user's token
CVE-2019-1020011,SmokeDetector intentionally does automatic deployments of updated copies of SmokeDetector without server operator authority.,SmokeDetector,,,does automatic deployments of updated copies of SmokeDetector,,,,
CVE-2019-1020012,parse-server before 3.4.1 allows DoS after any POST to a volatile class.,parse-server,before 3.4.1,DoS,,,,,
CVE-2019-1020013,parse-server before 3.6.0 allows account enumeration.,parse-server,before 3.6.0,,,,,,account enumeration
CVE-2019-1020014,docker-credential-helpers before 0.6.3 has a double free in the List functions.,docker-credential-helpers,before 0.6.3,,double free,List functions,,,
CVE-2019-1020015,graphql-engine (aka Hasura GraphQL Engine) before 1.0.0-beta.3 mishandles the audience check while verifying JWT.,graphql-engine |n Hasura GraphQL Engine,before 1.0.0-beta.3,,mishandles the audience check,,,verifying JWT,
CVE-2019-1020016,ASH-AIO before 2.0.0.3 allows an open redirect.,ASH-AIO,before 2.0.0.3,,,,,,open redirect
CVE-2019-1020019,invenio-previewer before 1.0.0a12 allows XSS.,invenio-previewer,before 1.0.0a12,XSS,,,,,
CVE-2019-1020018,Discourse before 2.3.0 and 2.4.x before 2.4.0.beta3 lacks a confirmation screen when logging in via an email link.,Discourse,before 2.3.0 |n 2.4.x before 2.4.0.beta3,,lacks a confirmation screen when logging in,,,via an email link,
